text,emotion
I'm so happy today everything is going great!,happy
Just got promoted at work! Best day ever!,happy
My team won the championship! I'm ecstatic!,happy
Got an A on my exam feeling on top of the world!,happy
Birthday celebration with all my friends was amazing!,happy
My baby took their first steps today!,happy
Woke up and everything just feels right today,happy
Feeling grateful for all the good things in my life,happy
The sun is shining and I feel amazing,happy
I got accepted into my dream university!,happy
I miss my grandmother so much. She passed away last year.,sad
My best friend is moving to another country. I feel lost.,sad
Failed my exam after studying for weeks. So disappointed.,sad
Nobody remembered my birthday today.,sad
Looking at old photos makes me sad about how things changed.,sad
My dog passed away yesterday. I am heartbroken.,sad
The person I love doesn't feel the same way.,sad
I feel like crying but I don't even know why.,sad
Everything reminds me of what I've lost.,sad
Didn't get the job. Back to square one.,sad
I can't believe they lied to me. I'm furious!,angry
This traffic is making me so mad. I'm going to be late again!,angry
My roommate keeps leaving dishes in the sink I'm fed up!,angry
Why do people keep interrupting me? I'm losing my patience.,angry
They gave away my seat on the plane even though I booked it!,angry
My colleague takes credit for all my work. I'm livid.,angry
The service at this restaurant was absolutely terrible.,angry
Why won't anyone listen to what I have to say?,angry
I'm going to crush this workout today! Nothing can stop me!,motivational
Every failure is just a stepping stone to success.,motivational
Starting my business today. Excited for this new chapter!,motivational
I believe in myself. I can achieve anything I set my mind to!,motivational
Training for a marathon. No pain no gain!,motivational
Going after my dreams no matter what anyone says.,motivational
Today I choose to be unstoppable.,motivational
Rising up after every fall makes me stronger.,motivational
I have my first job interview tomorrow. I'm terrified.,fear
There's a strange noise outside. I'm scared to check.,fear
I have anxiety about flying but I have a trip next week.,fear
Presenting in front of 500 people next week. Petrified.,fear
I'm worried something bad might happen to my family.,fear
The darkness in this neighborhood at night scares me.,fear
I feel like something terrible is about to happen.,fear
I feel empty inside. Nothing brings me joy anymore.,depressing
What's the point of anything? I can't see the light.,depressing
I've been feeling numb for weeks. Everything feels grey.,depressing
I don't want to get out of bed. Life feels meaningless.,depressing
The darkness inside me won't go away no matter what I do.,depressing
I can't remember the last time I felt something.,depressing
Every day feels like a struggle just to exist.,depressing
I just found out I'm pregnant! Complete shock!,surprising
My long lost sibling just called me out of nowhere!,surprising
Won the lottery today. I still can't believe it!,surprising
My boss just gave me an unexpected bonus. What a surprise!,surprising
Ran into my childhood friend at the airport in another country!,surprising
I opened my mail and found I'd inherited money from an uncle I never knew.,surprising
The twist at the end of this story completely blew my mind!,surprising
I have three deadlines tomorrow and I haven't started any of them.,stressed
My boss wants the report in an hour. I'm overwhelmed.,stressed
Balancing work school and family is burning me out.,stressed
I can't sleep because I'm thinking about everything I need to do.,stressed
Finals week is here and I feel like I'm drowning.,stressed
Too many responsibilities not enough time. Completely overwhelmed.,stressed
My heart is racing and I can't calm down.,stressed
Just finished meditating. Feeling so peaceful and centered.,calm
Sitting by the ocean and watching the sunset. Pure bliss.,calm
Everything is in order and I feel at peace with the world.,calm
Reading a good book with a cup of tea. Perfectly content.,calm
A quiet Sunday morning with no plans. This is what I needed.,calm
Breathing slowly and letting the tension dissolve.,calm
The world is quiet tonight and I feel at home in myself.,calm
I have 500 friends on social media but I feel completely alone.,lonely
Moved to a new city and don't know anyone here.,lonely
Everyone seems to have their own lives. Nobody checks on me.,lonely
Sitting at home alone on a Friday night. Missing connection.,lonely
Even in a crowd I feel isolated and invisible.,lonely
The silence in my apartment is deafening tonight.,lonely
I texted three people and no one replied.,lonely
I'm so in love. Every moment with them feels magical.,romantic
Got flowers from my partner unexpectedly. My heart is full.,romantic
Planning a surprise date for my anniversary. Love is beautiful.,romantic
The way they look at me makes me feel like the only person in the world.,romantic
First date tonight! I have butterflies!,romantic
Love letters remind me why I fell for them in the first place.,romantic
Everything feels brighter when they're around.,romantic
Heard that song from 2008 and suddenly I'm 16 again.,nostalgic
Found my old diary. Remembering who I used to be.,nostalgic
Drove past my childhood home today. So many memories.,nostalgic
Rewatching old cartoons from my childhood. Simpler times.,nostalgic
Old photos with friends I've lost touch with. Miss those days.,nostalgic
The smell of that food reminds me of my grandmother's kitchen.,nostalgic
Listening to the music I grew up with fills me with bittersweet longing.,nostalgic
I got the job offer but it means leaving my family behind.,mixed
Happy it's my birthday but also reflecting on time passing.,mixed
Graduated today! Proud but nervous about what comes next.,mixed
My relationship ended. Sad but also relieved somehow.,mixed
Moving to my dream city but terrified of starting over.,mixed
I don't know how to feel about this situation.,mixed
My emotions are all over the place today.,mixed
